store_no,customers_unique,Store Name,Address
18646,123,,
19236,123,,
40785,123,,
40271,123,,
2247,123,,
40670,122,,
29096,122,,
887,122,,
5664,122,,
40221,122,,
26037,122,,
40315,122,,
40118,122,,
647,121,,
3106,121,,
29147,121,,
40667,121,,
40371,121,,
216,120,,
29034,120,,
834,120,,
40385,120,,
21714,120,,
41113,119,,
952,119,,
124,119,,
7735,119,,
109,119,,
133,118,,
431,118,,
22980,118,,
103,118,,
114,118,,
6834,118,,
40086,118,,
16130,117,,
26000,117,,
29169,117,,
40599,117,,
40701,117,,
40343,116,,
10821,116,,
40150,116,,
391,116,,
16718,116,,
20919,116,,
26034,115,,
3127,115,,
222,115,,
7504,115,,
367,115,,
331,115,,
25019,114,,
5464,114,,
29136,114,,
40401,114,,
40153,114,,
29180,114,,
800,114,,
25022,113,,
40830,113,,
5449,113,,
7979,113,,
258,113,,
358,113,,
40643,113,,
29723,113,,
29138,113,,
8231,113,,
7885,113,,
4223,113,,
263,112,,
40305,112,,
8802,112,,
40218,112,,
25034,112,,
161,112,,
2635,111,,
40369,111,,
863,111,,
207,111,,
8199,111,,
4601,111,,
19001,111,,
40341,111,,
6261,111,,
16719,111,,
40372,110,,
29000,110,,
40036,110,,
29173,110,,
29109,110,,
18240,110,,
29730,110,,
6136,109,,
2964,109,,
636,109,,
40219,109,,
10278,109,,
29077,109,,
17234,108,,
1,108,,
3904,108,,
40114,108,,
40009,108,,
6833,108,,
29100,108,,
3329,108,,
40288,108,,
40156,107,,
7272,107,,
10595,107,,
40172,107,,
40521,107,,
40316,106,,
8443,106,,
40816,105,,
7123,105,,
29044,105,,
471,105,,
16128,105,,
218,105,,
40338,105,,
450,105,,
891,105,,
14910,105,,
40319,104,,
14916,104,,
22544,104,,
186,104,,
29150,104,,
40614,104,,
40653,104,,
3728,104,,
8328,103,,
11775,103,,
872,103,,
40314,103,,
40148,103,,
40092,103,,
29027,103,,
212,103,,
40486,103,,
29721,102,,
164,102,,
372,102,,
1251,102,,
40293,102,,
22998,102,,
165,102,,
40812,101,,
40380,101,,
29045,101,,
16713,101,,
40233,101,,
40331,101,,
26019,100,,
6628,100,,
40387,100,,
40061,100,,
40491,100,,
4719,100,,
12223,100,,
40235,100,,
18947,100,,
8949,100,,
40907,99,,
567,99,,
29036,99,,
40124,99,,
105,99,,
40286,99,,
6690,99,,
29134,99,,
40352,99,,
22512,98,,
40264,98,,
228,98,,
921,98,,
40087,98,,
26022,98,,
11356,98,,
21834,98,,
4984,97,,
5144,97,,
40468,97,,
111,96,,
898,96,,
229,96,,
40475,96,,
40718,96,,
29152,96,,
4398,96,,
16531,96,,
20684,96,,
548,96,,
23293,96,,
232,95,,
9242,95,,
40066,95,,
22028,95,,
40185,95,,
465,95,,
413,95,,
10004,94,,
40130,94,,
40533,94,,
12984,94,,
26041,93,,
29701,93,,
2705,93,,
22054,93,,
26021,93,,
158,93,,
19207,93,,
227,93,,
16715,92,,
237,92,,
29131,92,,
26042,92,,
23155,92,,
29021,92,,
40820,92,,
6222,92,,
40007,92,,
537,91,,
18873,91,,
40402,91,,
40137,91,,
40285,91,,
40070,91,,
8785,90,,
169,90,,
40336,90,,
40806,90,,
4676,90,,
40313,90,,
26017,89,,
26024,89,,
5482,89,,
5304,89,,
40277,89,,
4986,89,,
11140,89,,
6607,89,,
5264,88,,
29028,88,,
13766,88,,
10154,88,,
22885,88,,
40083,88,,
40278,88,,
10820,88,,
11425,88,,
835,87,,
40119,87,,
5336,87,,
491,87,,
878,87,,
40320,87,,
1050,86,,
836,86,,
11258,86,,
14787,86,,
40575,86,,
10860,86,,
40446,86,,
29031,86,,
380,86,,
911,86,,
919,86,,
123,85,,
26009,85,,
254,85,,
15854,85,,
41137,85,,
102,85,,
223,85,,
14941,85,,
